"REF_DATE","GEO","DGUID","Duration of unemployment","Age group","Sex","Statistics","Data type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-01","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Seasonally adjusted","Weeks","303","units","0","v1078668390","1.9.1.1.1.1","17.0",,,,"1"
"2020-02","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Seasonally adjusted","Weeks","303","units","0","v1078668390","1.9.1.1.1.1","16.7",,,,"1"
"2020-03","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Seasonally adjusted","Weeks","303","units","0","v1078668390","1.9.1.1.1.1","12.6",,,,"1"
"2020-04","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Seasonally adjusted","Weeks","303","units","0","v1078668390","1.9.1.1.1.1","8.9",,,,"1"
"2020-05","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Seasonally adjusted","Weeks","303","units","0","v1078668390","1.9.1.1.1.1","11.2",,,,"1"
"2020-06","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Seasonally adjusted","Weeks","303","units","0","v1078668390","1.9.1.1.1.1","12.8",,,,"1"
"2020-07","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Seasonally adjusted","Weeks","303","units","0","v1078668390","1.9.1.1.1.1","16.1",,,,"1"
"2020-08","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Seasonally adjusted","Weeks","303","units","0","v1078668390","1.9.1.1.1.1","16.3",,,,"1"
"2020-09","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Seasonally adjusted","Weeks","303","units","0","v1078668390","1.9.1.1.1.1","19.3",,,,"1"
"2020-10","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Seasonally adjusted","Weeks","303","units","0","v1078668390","1.9.1.1.1.1","18.7",,,,"1"
"2020-11","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Seasonally adjusted","Weeks","303","units","0","v1078668390","1.9.1.1.1.1","18.6",,,,"1"
"2020-12","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Seasonally adjusted","Weeks","303","units","0","v1078668390","1.9.1.1.1.1","20.6",,,,"1"
"2021-01","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Seasonally adjusted","Weeks","303","units","0","v1078668390","1.9.1.1.1.1","21.0",,,,"1"
"2021-02","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Seasonally adjusted","Weeks","303","units","0","v1078668390","1.9.1.1.1.1","21.9",,,,"1"
"2021-03","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Seasonally adjusted","Weeks","303","units","0","v1078668390","1.9.1.1.1.1","22.7",,,,"1"
"2021-04","Canada","2016A000011124","Average weeks unemployed, no top-code","15 years and over","Both sexes","Estimate","Seasonally adjusted","Weeks","303","units","0","v1078668390","1.9.1.1.1.1","22.3",,,,"1"
