"","ref_date","financial_market_statistics","value"
"1",2009-12-30,"Real return benchmark bond yield, long term",1.515
"2",2009-12-30,"Target rate",0.25
"3",2009-12-31,"Real return benchmark bond yield, long term",1.528
"4",2009-12-31,"Target rate",0.25
"5",2010-01-01,"Real return benchmark bond yield, long term",NA
"6",2010-01-01,"Target rate",0.25
"7",2010-01-02,"Real return benchmark bond yield, long term",0
"8",2010-01-02,"Target rate",0
"9",2010-01-03,"Real return benchmark bond yield, long term",0
"10",2010-01-03,"Target rate",0
"11",2010-01-04,"Real return benchmark bond yield, long term",1.542
"12",2010-01-04,"Target rate",0.25
"13",2010-01-05,"Real return benchmark bond yield, long term",1.531
"14",2010-01-05,"Target rate",0.25
"15",2010-01-06,"Real return benchmark bond yield, long term",1.592
"16",2010-01-06,"Target rate",0.25
"17",2010-01-07,"Real return benchmark bond yield, long term",1.574
"18",2010-01-07,"Target rate",0.25
"19",2010-01-08,"Real return benchmark bond yield, long term",1.546
"20",2010-01-08,"Target rate",0.25
"21",2010-01-09,"Real return benchmark bond yield, long term",0
"22",2010-01-09,"Target rate",0
"23",2010-01-10,"Real return benchmark bond yield, long term",0
"24",2010-01-10,"Target rate",0
"25",2010-01-11,"Real return benchmark bond yield, long term",1.565
"26",2010-01-11,"Target rate",0.25
"27",2010-01-12,"Real return benchmark bond yield, long term",1.542
"28",2010-01-12,"Target rate",0.25
"29",2010-01-13,"Real return benchmark bond yield, long term",1.594
"30",2010-01-13,"Target rate",0.25
"31",2010-01-14,"Real return benchmark bond yield, long term",1.578
"32",2010-01-14,"Target rate",0.25
"33",2010-01-15,"Real return benchmark bond yield, long term",1.555
"34",2010-01-15,"Target rate",0.25
"35",2010-01-16,"Real return benchmark bond yield, long term",0
"36",2010-01-16,"Target rate",0
"37",2010-01-17,"Real return benchmark bond yield, long term",0
"38",2010-01-17,"Target rate",0
"39",2010-01-18,"Real return benchmark bond yield, long term",1.539
"40",2010-01-18,"Target rate",0.25
"41",2010-01-19,"Real return benchmark bond yield, long term",1.551
"42",2010-01-19,"Target rate",0.25
"43",2010-01-20,"Real return benchmark bond yield, long term",1.566
"44",2010-01-20,"Target rate",0.25
"45",2010-01-21,"Real return benchmark bond yield, long term",1.561
"46",2010-01-21,"Target rate",0.25
"47",2010-01-22,"Real return benchmark bond yield, long term",1.568
"48",2010-01-22,"Target rate",0.25
"49",2010-01-23,"Real return benchmark bond yield, long term",0
"50",2010-01-23,"Target rate",0
"51",2010-01-24,"Real return benchmark bond yield, long term",0
"52",2010-01-24,"Target rate",0
"53",2010-01-25,"Real return benchmark bond yield, long term",1.574
"54",2010-01-25,"Target rate",0.25
"55",2010-01-26,"Real return benchmark bond yield, long term",1.545
"56",2010-01-26,"Target rate",0.25
"57",2010-01-27,"Real return benchmark bond yield, long term",1.545
"58",2010-01-27,"Target rate",0.25
"59",2010-01-28,"Real return benchmark bond yield, long term",1.502
"60",2010-01-28,"Target rate",0.25
"61",2010-01-29,"Real return benchmark bond yield, long term",1.489
"62",2010-01-29,"Target rate",0.25
"63",2010-01-30,"Real return benchmark bond yield, long term",0
"64",2010-01-30,"Target rate",0
"65",2010-01-31,"Real return benchmark bond yield, long term",0
"66",2010-01-31,"Target rate",0
"67",2010-02-01,"Real return benchmark bond yield, long term",1.493
"68",2010-02-01,"Target rate",0.25
"69",2010-02-02,"Real return benchmark bond yield, long term",1.534
"70",2010-02-02,"Target rate",0.25
"71",2010-02-03,"Real return benchmark bond yield, long term",1.563
"72",2010-02-03,"Target rate",0.25
"73",2010-02-04,"Real return benchmark bond yield, long term",1.53
"74",2010-02-04,"Target rate",0.25
"75",2010-02-05,"Real return benchmark bond yield, long term",1.559
"76",2010-02-05,"Target rate",0.25
"77",2010-02-06,"Real return benchmark bond yield, long term",0
"78",2010-02-06,"Target rate",0
"79",2010-02-07,"Real return benchmark bond yield, long term",0
"80",2010-02-07,"Target rate",0
"81",2010-02-08,"Real return benchmark bond yield, long term",1.551
"82",2010-02-08,"Target rate",0.25
"83",2010-02-09,"Real return benchmark bond yield, long term",1.558
"84",2010-02-09,"Target rate",0.25
"85",2010-02-10,"Real return benchmark bond yield, long term",1.581
"86",2010-02-10,"Target rate",0.25
"87",2010-02-11,"Real return benchmark bond yield, long term",1.595
"88",2010-02-11,"Target rate",0.25
"89",2010-02-12,"Real return benchmark bond yield, long term",1.607
"90",2010-02-12,"Target rate",0.25
"91",2010-02-13,"Real return benchmark bond yield, long term",0
"92",2010-02-13,"Target rate",0
"93",2010-02-14,"Real return benchmark bond yield, long term",0
"94",2010-02-14,"Target rate",0
"95",2010-02-15,"Real return benchmark bond yield, long term",NA
"96",2010-02-15,"Target rate",0.25
"97",2010-02-16,"Real return benchmark bond yield, long term",1.6
"98",2010-02-16,"Target rate",0.25
"99",2010-02-17,"Real return benchmark bond yield, long term",1.617
"100",2010-02-17,"Target rate",0.25
"101",2010-02-18,"Real return benchmark bond yield, long term",1.607
"102",2010-02-18,"Target rate",0.25
"103",2010-02-19,"Real return benchmark bond yield, long term",1.61
"104",2010-02-19,"Target rate",0.25
"105",2010-02-20,"Real return benchmark bond yield, long term",0
"106",2010-02-20,"Target rate",0
"107",2010-02-21,"Real return benchmark bond yield, long term",0
"108",2010-02-21,"Target rate",0
"109",2010-02-22,"Real return benchmark bond yield, long term",1.637
"110",2010-02-22,"Target rate",0.25
"111",2010-02-23,"Real return benchmark bond yield, long term",1.574
"112",2010-02-23,"Target rate",0.25
"113",2010-02-24,"Real return benchmark bond yield, long term",1.586
"114",2010-02-24,"Target rate",0.25
"115",2010-02-25,"Real return benchmark bond yield, long term",1.57
"116",2010-02-25,"Target rate",0.25
"117",2010-02-26,"Real return benchmark bond yield, long term",1.575
"118",2010-02-26,"Target rate",0.25
"119",2010-02-27,"Real return benchmark bond yield, long term",0
"120",2010-02-27,"Target rate",0
"121",2010-02-28,"Real return benchmark bond yield, long term",0
"122",2010-02-28,"Target rate",0
"123",2010-03-01,"Real return benchmark bond yield, long term",1.578
"124",2010-03-01,"Target rate",0.25
"125",2010-03-02,"Real return benchmark bond yield, long term",1.56
"126",2010-03-02,"Target rate",0.25
"127",2010-03-03,"Real return benchmark bond yield, long term",1.562
"128",2010-03-03,"Target rate",0.25
"129",2010-03-04,"Real return benchmark bond yield, long term",1.575
"130",2010-03-04,"Target rate",0.25
"131",2010-03-05,"Real return benchmark bond yield, long term",1.619
"132",2010-03-05,"Target rate",0.25
"133",2010-03-06,"Real return benchmark bond yield, long term",0
