"","ref_date","geo","value","business_characteristics"
"1","2020","Canada",16.1,"Agriculture, forestry, fishing and hunting [11]"
"2","2020","Canada",19.8,"Mining, quarrying, and oil and gas extraction [21]"
"3","2020","Canada",15.8,"Construction [23]"
"4","2020","Canada",17.7,"Manufacturing [31-33]"
"5","2020","Canada",22,"Wholesale trade [41]"
"6","2020","Canada",19,"Retail trade [44-45]"
"7","2020","Canada",30.4,"Transportation and warehousing [48-49]"
"8","2020","Canada",21.1,"Information and cultural industries [51]"
"9","2020","Canada",25,"Finance and insurance [52]"
"10","2020","Canada",17.1,"Real estate and rental and leasing [53]"
"11","2020","Canada",14.4,"Professional, scientific and technical services [54]"
"12","2020","Canada",22,"Administrative and support, waste management and remediation services [56]"
"13","2020","Canada",21.3,"Health care and social assistance [62]"
"14","2020","Canada",16.1,"Arts, entertainment and recreation [71]"
"15","2020","Canada",27.1,"Accommodation and food services [72]"
"16","2020","Canada",15.9,"Other services (except public administration) [81]"
"17","2020","Newfoundland and Labrador",23.4,"Agriculture, forestry, fishing and hunting [11]"
"18","2020","Newfoundland and Labrador",21.2,"Mining, quarrying, and oil and gas extraction [21]"
"19","2020","Newfoundland and Labrador",16.7,"Construction [23]"
"20","2020","Newfoundland and Labrador",18.8,"Manufacturing [31-33]"
"21","2020","Newfoundland and Labrador",27.8,"Wholesale trade [41]"
"22","2020","Newfoundland and Labrador",17.9,"Retail trade [44-45]"
"23","2020","Newfoundland and Labrador",18.2,"Transportation and warehousing [48-49]"
"24","2020","Newfoundland and Labrador",26.3,"Information and cultural industries [51]"
"25","2020","Newfoundland and Labrador",31.1,"Finance and insurance [52]"
"26","2020","Newfoundland and Labrador",39.4,"Real estate and rental and leasing [53]"
"27","2020","Newfoundland and Labrador",19.2,"Professional, scientific and technical services [54]"
"28","2020","Newfoundland and Labrador",20,"Administrative and support, waste management and remediation services [56]"
"29","2020","Newfoundland and Labrador",25.6,"Health care and social assistance [62]"
"30","2020","Newfoundland and Labrador",31.6,"Arts, entertainment and recreation [71]"
"31","2020","Newfoundland and Labrador",10.7,"Accommodation and food services [72]"
"32","2020","Newfoundland and Labrador",11.5,"Other services (except public administration) [81]"
"33","2020","Prince Edward Island",7.9,"Agriculture, forestry, fishing and hunting [11]"
"34","2020","Prince Edward Island",0,"Mining, quarrying, and oil and gas extraction [21]"
"35","2020","Prince Edward Island",28.1,"Construction [23]"
"36","2020","Prince Edward Island",13.1,"Manufacturing [31-33]"
"37","2020","Prince Edward Island",33.8,"Wholesale trade [41]"
"38","2020","Prince Edward Island",30.4,"Retail trade [44-45]"
"39","2020","Prince Edward Island",23.1,"Transportation and warehousing [48-49]"
