"","ref_year","geo","total_population_growth","immigrants","emigrants","net_interprovincial_migrants","net_interprovincial_migrants_CPC","emigrants_CPC","immigrants_CPC","other","other_CPC"
"1",2010,"Alberta",53086,32643,6880,2280,0.043,0.13,0.615,11283,0.213
"2",2010,"British Columbia",55040,44185,11940,6212,0.113,0.217,0.803,-7297,-0.133
"3",2010,"Canada",375994,280682,59688,0,0,0.159,0.747,35624,0.095
"4",2010,"Manitoba",12224,15808,1648,-2590,-0.212,0.135,1.293,-2642,-0.216
"5",2010,"New Brunswick",3079,2125,388,495,0.161,0.126,0.69,71,0.023
"6",2010,"Newfoundland and Labrador",5258,714,235,149,0.028,0.045,0.136,4160,0.791
"7",2010,"Northwest Territories",129,137,24,-170,-1.318,0.186,1.062,138,1.07
"8",2010,"Nova Scotia",3899,2397,946,71,0.018,0.243,0.615,485,0.124
"9",2010,"Nunavut",755,19,9,9,0.012,0.012,0.025,718,0.951
"10",2010,"Ontario",137433,118115,27620,-3909,-0.028,0.201,0.859,-4393,-0.032
"11",2010,"Prince Edward Island",1763,2593,89,-133,-0.075,0.05,1.471,-786,-0.446
"12",2010,"Quebec",85839,53981,9227,-4348,-0.051,0.107,0.629,26979,0.314
"13",2010,"Saskatchewan",16624,7615,660,1702,0.102,0.04,0.458,6647,0.4
"14",2010,"Yukon",865,350,22,232,0.268,0.025,0.405,261,0.302
"15",2011,"Alberta",56948,30950,7896,15968,0.28,0.139,0.543,2134,0.037
"16",2011,"British Columbia",36558,34804,12673,711,0.019,0.347,0.952,-11630,-0.318
"17",2011,"Canada",334439,248733,65125,0,0,0.195,0.744,20581,0.062
"18",2011,"Manitoba",12869,15975,1552,-4171,-0.324,0.121,1.241,-487,-0.038
"19",2011,"New Brunswick",2670,1971,404,-1017,-0.381,0.151,0.738,1312,0.491
"20",2011,"Newfoundland and Labrador",2990,685,268,751,0.251,0.09,0.229,1286,0.43
"21",2011,"Northwest Territories",219,85,33,-105,-0.479,0.151,0.388,206,0.941
"22",2011,"Nova Scotia",2167,2145,1251,-1648,-0.76,0.577,0.99,419,0.193
"23",2011,"Nunavut",840,24,9,-4,-0.005,0.011,0.029,811,0.965
"24",2011,"Ontario",125603,99437,30046,-5742,-0.046,0.239,0.792,1862,0.015
"25",2011,"Prince Edward Island",2309,1741,94,-314,-0.136,0.041,0.754,788,0.341
"26",2011,"Quebec",75868,51721,9987,-5740,-0.076,0.132,0.682,19900,0.262
"27",2011,"Saskatchewan",14583,8958,865,801,0.055,0.059,0.614,3959,0.271
"28",2011,"Yukon",815,237,47,510,0.626,0.058,0.291,21,0.026
"29",2012,"Alberta",85518,36057,7808,36287,0.424,0.091,0.422,5366,0.063
"30",2012,"British Columbia",64665,36237,12491,-4322,-0.067,0.193,0.56,20259,0.313
"31",2012,"Canada",374894,257809,61873,0,0,0.165,0.688,55212,0.147
"32",2012,"Manitoba",16326,13326,1537,-3928,-0.241,0.094,0.816,5391,0.33
"33",2012,"New Brunswick",2673,2220,351,-3069,-1.148,0.131,0.831,3171,1.186
"34",2012,"Newfoundland and Labrador",1346,731,319,235,0.175,0.237,0.543,61,0.045
"35",2012,"Northwest Territories",144,166,29,-530,-3.681,0.201,1.153,479,3.326
"36",2012,"Nova Scotia",-639,2343,1122,-3242,5.074,-1.756,-3.667,-862,1.349
"37",2012,"Nunavut",480,20,1,-93,-0.194,0.002,0.042,552,1.15
"38",2012,"Ontario",129251,99123,28060,-13138,-0.102,0.217,0.767,15206,0.118
"39",2012,"Prince Edward Island",567,1100,118,-914,-1.612,0.208,1.94,263,0.464
"40",2012,"Quebec",56011,55029,9133,-8975,-0.16,0.163,0.982,824,0.015
"41",2012,"Saskatchewan",17729,11176,855,1586,0.089,0.048,0.63,4112,0.232
"42",2012,"Yukon",823,281,49,103,0.125,0.06,0.341,390,0.474
"43",2013,"Alberta",106463,36585,7306,36830,0.346,0.069,0.344,25742,0.242
"44",2013,"British Columbia",63308,36224,13347,2514,0.04,0.211,0.572,11223,0.177
"45",2013,"Canada",368732,259038,62709,0,0,0.17,0.703,46985,0.127
"46",2013,"Manitoba",14645,13127,1485,-6146,-0.42,0.101,0.896,6179,0.422
"47",2013,"New Brunswick",166,2023,350,-2840,-17.108,2.108,12.187,633,3.813
"48",2013,"Newfoundland and Labrador",769,835,305,222,0.289,0.397,1.086,-593,-0.771
"49",2013,"Northwest Territories",157,149,18,-603,-3.841,0.115,0.949,593,3.777
"50",2013,"Nova Scotia",-3201,2528,1016,-2918,0.912,-0.317,-0.79,-3827,1.196
"51",2013,"Nunavut",665,11,4,-62,-0.093,0.006,0.017,712,1.071
"52",2013,"Ontario",120149,103511,28612,-11987,-0.1,0.238,0.862,13,0
"53",2013,"Prince Edward Island",-436,1000,107,-730,1.674,-0.245,-2.294,-813,1.865
"54",2013,"Quebec",49779,52044,9288,-13346,-0.268,0.187,1.046,1793,0.036
