"","ref_date","geo","value"
"1",2010-01-01,"Canada",18.6
"2",2010-02-01,"Canada",19.6
"3",2010-03-01,"Canada",20
"4",2010-04-01,"Canada",21.3
"5",2010-05-01,"Canada",19.2
"6",2010-06-01,"Canada",20.2
"7",2010-07-01,"Canada",18.2
"8",2010-08-01,"Canada",19.4
"9",2010-09-01,"Canada",21.6
"10",2010-10-01,"Canada",19.6
"11",2010-11-01,"Canada",21.4
"12",2010-12-01,"Canada",22.6
"13",2011-01-01,"Canada",19.7
"14",2011-02-01,"Canada",21.3
"15",2011-03-01,"Canada",21.5
"16",2011-04-01,"Canada",22.5
"17",2011-05-01,"Canada",19.5
"18",2011-06-01,"Canada",23.4
"19",2011-07-01,"Canada",20.6
"20",2011-08-01,"Canada",21
"21",2011-09-01,"Canada",20.7
"22",2011-10-01,"Canada",21.8
"23",2011-11-01,"Canada",21.4
"24",2011-12-01,"Canada",23.4
"25",2012-01-01,"Canada",19.3
"26",2012-02-01,"Canada",20.2
"27",2012-03-01,"Canada",19.8
"28",2012-04-01,"Canada",20.2
"29",2012-05-01,"Canada",20.2
"30",2012-06-01,"Canada",19.4
"31",2012-07-01,"Canada",19.4
"32",2012-08-01,"Canada",21.2
"33",2012-09-01,"Canada",21.3
"34",2012-10-01,"Canada",20.4
"35",2012-11-01,"Canada",21.5
"36",2012-12-01,"Canada",22
"37",2013-01-01,"Canada",19.8
"38",2013-02-01,"Canada",20.9
"39",2013-03-01,"Canada",22.1
"40",2013-04-01,"Canada",21.3
"41",2013-05-01,"Canada",21.7
"42",2013-06-01,"Canada",20.9
"43",2013-07-01,"Canada",20
"44",2013-08-01,"Canada",20.6
"45",2013-09-01,"Canada",21.8
"46",2013-10-01,"Canada",22.5
"47",2013-11-01,"Canada",22.4
"48",2013-12-01,"Canada",21
"49",2014-01-01,"Canada",20.6
"50",2014-02-01,"Canada",21
"51",2014-03-01,"Canada",21.2
"52",2014-04-01,"Canada",21.4
"53",2014-05-01,"Canada",20.9
"54",2014-06-01,"Canada",21
"55",2014-07-01,"Canada",19.8
"56",2014-08-01,"Canada",21.2
"57",2014-09-01,"Canada",20.7
"58",2014-10-01,"Canada",21.6
