"","ref_year","geo","type_of_electricity_generation","value","value_fd","value_pc"
"1",2010,"Alberta","Total all types of electricity generation",61292116,2115548,3.575
"2",2010,"British Columbia","Total all types of electricity generation",59477155,-2724310,-4.38
"3",2010,"Canada","Total all types of electricity generation",566759687,-10740832,-1.86
"4",2010,"Manitoba","Total all types of electricity generation",33442834,-377935,-1.117
"5",2010,"New Brunswick","Total all types of electricity generation",11073413,-1977491,-15.152
"6",2010,"Newfoundland and Labrador","Total all types of electricity generation",40761074,3382354,9.049
"7",2010,"Northwest Territories","Total all types of electricity generation",722675,45262,6.682
"8",2010,"Nova Scotia","Total all types of electricity generation",11662894,54032,0.465
"9",2010,"Nunavut","Total all types of electricity generation",165369,5086,3.173
"10",2010,"Ontario","Total all types of electricity generation",141247071,-2671254,-1.856
"11",2010,"Prince Edward Island","Total all types of electricity generation",354210,234534,195.974
"12",2010,"Quebec","Total all types of electricity generation",184094446,-9526931,-4.92
"13",2010,"Saskatchewan","Total all types of electricity generation",22062289,700543,3.279
"14",2010,"Yukon","Total all types of electricity generation",404141,-270,-0.067
"15",2011,"Alberta","Total all types of electricity generation",60727833,-564283,-0.921
"16",2011,"British Columbia","Total all types of electricity generation",66205426,6728271,11.312
"17",2011,"Canada","Total all types of electricity generation",585450812,18691125,3.298
"18",2011,"Manitoba","Total all types of electricity generation",34753742,1310908,3.92
"19",2011,"New Brunswick","Total all types of electricity generation",11242717,169304,1.529
"20",2011,"Newfoundland and Labrador","Total all types of electricity generation",40710234,-50840,-0.125
"21",2011,"Northwest Territories","Total all types of electricity generation",647282,-75393,-10.432
"22",2011,"Nova Scotia","Total all types of electricity generation",11160772,-502122,-4.305
"23",2011,"Nunavut","Total all types of electricity generation",171889,6520,3.943
"24",2011,"Ontario","Total all types of electricity generation",139796281,-1450790,-1.027
"25",2011,"Prince Edward Island","Total all types of electricity generation",333158,-21052,-5.943
"26",2011,"Quebec","Total all types of electricity generation",196938071,12843625,6.977
"27",2011,"Saskatchewan","Total all types of electricity generation",22338796,276507,1.253
"28",2011,"Yukon","Total all types of electricity generation",424611,20470,5.065
"29",2012,"Alberta","Total all types of electricity generation",65538731,4810898,7.922
"30",2012,"British Columbia","Total all types of electricity generation",69783334,3577908,5.404
"31",2012,"Canada","Total all types of electricity generation",594875004,9424192,1.61
"32",2012,"Manitoba","Total all types of electricity generation",32647482,-2106260,-6.061
"33",2012,"New Brunswick","Total all types of electricity generation",9625047,-1617670,-14.389
"34",2012,"Newfoundland and Labrador","Total all types of electricity generation",42986446,2276212,5.591
"35",2012,"Northwest Territories","Total all types of electricity generation",621998,-25284,-3.906
"36",2012,"Nova Scotia","Total all types of electricity generation",10066924,-1093848,-9.801
"37",2012,"Nunavut","Total all types of electricity generation",177561,5672,3.3
"38",2012,"Ontario","Total all types of electricity generation",141177451,1381170,0.988
"39",2012,"Prince Edward Island","Total all types of electricity generation",164972,-168186,-50.482
"40",2012,"Quebec","Total all types of electricity generation",199680429,2742358,1.392
"41",2012,"Saskatchewan","Total all types of electricity generation",21951965,-386831,-1.732
"42",2012,"Yukon","Total all types of electricity generation",452664,28053,6.607
"43",2013,"Alberta","Total all types of electricity generation",63655943,-1882788,-2.873
"44",2013,"British Columbia","Total all types of electricity generation",63706503,-6076831,-8.708
"45",2013,"Canada","Total all types of electricity generation",610704568,15829564,2.661
"46",2013,"Manitoba","Total all types of electricity generation",35868870,3221388,9.867
"47",2013,"New Brunswick","Total all types of electricity generation",13993325,4368278,45.384
"48",2013,"Newfoundland and Labrador","Total all types of electricity generation",42142761,-843685,-1.963
"49",2013,"Northwest Territories","Total all types of electricity generation",644729,22731,3.655
"50",2013,"Nova Scotia","Total all types of electricity generation",10522893,455969,4.529
"51",2013,"Nunavut","Total all types of electricity generation",178979,1418,0.799
"52",2013,"Ontario","Total all types of electricity generation",149512793,8335342,5.904
"53",2013,"Prince Edward Island","Total all types of electricity generation",154221,-10751,-6.517
"54",2013,"Quebec","Total all types of electricity generation",206801363,7120934,3.566
"55",2013,"Saskatchewan","Total all types of electricity generation",23075478,1123513,5.118
"56",2013,"Yukon","Total all types of electricity generation",446710,-5954,-1.315
"57",2014,"Alberta","Total all types of electricity generation",65654083,1998140,3.139
"58",2014,"British Columbia","Total all types of electricity generation",59813915,-3892588,-6.11
"59",2014,"Canada","Total all types of electricity generation",599925351,-10779217,-1.765
"60",2014,"Manitoba","Total all types of electricity generation",34982776,-886094,-2.47
"61",2014,"New Brunswick","Total all types of electricity generation",15092229,1098904,7.853
"62",2014,"Newfoundland and Labrador","Total all types of electricity generation",39746060,-2396701,-5.687
"63",2014,"Northwest Territories","Total all types of electricity generation",645759,1030,0.16
"64",2014,"Nova Scotia","Total all types of electricity generation",10289866,-233027,-2.214
