"","ref_year","geo","value","value_fd","value_pc"
"1",2010,"Alberta",648870,-62360,-8.768
"2",2010,"British Columbia",1027130,-38300,-3.595
"3",2010,"Canada",8616670,-622170,-6.734
"4",2010,"Manitoba",213390,8910,4.357
"5",2010,"New Brunswick",447390,-3560,-0.789
"6",2010,"Newfoundland and Labrador",482150,-31170,-6.072
"7",2010,"Northwest Territories",11950,-40,-0.334
"8",2010,"Northwest Territories including Nunavut",0,0,0
"9",2010,"Nova Scotia",412390,2160,0.527
"10",2010,"Nunavut",6620,210,3.276
"11",2010,"Ontario",2676960,-401110,-13.031
"12",2010,"Prince Edward Island",113370,4180,3.828
"13",2010,"Quebec",2382480,-99800,-4.02
"14",2010,"Saskatchewan",176440,-960,-0.541
"15",2010,"Unclassified",4910,60,1.237
"16",2010,"Yukon",12580,-430,-3.305
"17",2011,"Alberta",463300,-185570,-28.599
"18",2011,"British Columbia",820040,-207090,-20.162
"19",2011,"Canada",7294890,-1321780,-15.34
"20",2011,"Manitoba",176680,-36710,-17.203
"21",2011,"New Brunswick",436780,-10610,-2.372
"22",2011,"Newfoundland and Labrador",452450,-29700,-6.16
"23",2011,"Northwest Territories",11690,-260,-2.176
"24",2011,"Northwest Territories including Nunavut",0,0,0
"25",2011,"Nova Scotia",397990,-14400,-3.492
"26",2011,"Nunavut",6550,-70,-1.057
"27",2011,"Ontario",2161720,-515240,-19.247
"28",2011,"Prince Edward Island",110340,-3030,-2.673
"29",2011,"Quebec",2095850,-286630,-12.031
"30",2011,"Saskatchewan",145230,-31210,-17.689
"31",2011,"Unclassified",4280,-630,-12.831
"32",2011,"Yukon",11930,-650,-5.167
"33",2012,"Alberta",363090,-100210,-21.63
"34",2012,"British Columbia",712770,-107270,-13.081
"35",2012,"Canada",6664980,-629910,-8.635
"36",2012,"Manitoba",174700,-1980,-1.121
"37",2012,"New Brunswick",426390,-10390,-2.379
"38",2012,"Newfoundland and Labrador",416400,-36050,-7.968
"39",2012,"Northwest Territories",10850,-840,-7.186
"40",2012,"Northwest Territories including Nunavut",0,0,0
"41",2012,"Nova Scotia",373280,-24710,-6.209
"42",2012,"Nunavut",6470,-80,-1.221
"43",2012,"Ontario",1958000,-203720,-9.424
"44",2012,"Prince Edward Island",105470,-4870,-4.414
