"","ref_year","geo","labour_force_characteristics","value","value_fd","value_pc"
"1",2010,"Alberta","Labour force",25965.8,-70.6,-0.271
"2",2010,"Alberta","Participation rate",72.917,-1.367,-1.84
"3",2010,"British Columbia","Labour force",28782.7,332.2,1.168
"4",2010,"British Columbia","Participation rate",65.467,-0.233,-0.355
"5",2010,"Canada","Labour force",220799.7,2254.6,1.032
"6",2010,"Canada","Participation rate",66.725,-0.208,-0.311
"7",2010,"Manitoba","Labour force",7709,121.9,1.607
"8",2010,"Manitoba","Participation rate",69.192,0.25,0.363
"9",2010,"New Brunswick","Labour force",4727.9,-2.2,-0.047
"10",2010,"New Brunswick","Participation rate",63.783,-0.408,-0.636
"11",2010,"Newfoundland and Labrador","Labour force",3132.2,80.2,2.628
"12",2010,"Newfoundland and Labrador","Participation rate",59.683,0.867,1.474
"13",2010,"Nova Scotia","Labour force",5972.3,56.3,0.952
"14",2010,"Nova Scotia","Participation rate",64.133,0.242,0.378
"15",2010,"Ontario","Labour force",85655.5,900.8,1.063
"16",2010,"Ontario","Participation rate",66.633,-0.158,-0.237
"17",2010,"Prince Edward Island","Labour force",939.9,14.1,1.523
"18",2010,"Prince Edward Island","Participation rate",67.225,-0.175,-0.26
"19",2010,"Quebec","Labour force",51191.9,720.5,1.428
"20",2010,"Quebec","Participation rate",65.083,0.042,0.064
"21",2010,"Saskatchewan","Labour force",6722.5,101.6,1.535
"22",2010,"Saskatchewan","Participation rate",69.967,-0.167,-0.238
"23",2011,"Alberta","Labour force",26589.4,623.6,2.402
"24",2011,"Alberta","Participation rate",73.492,0.575,0.789
"25",2011,"British Columbia","Labour force",28852.9,70.2,0.244
"26",2011,"British Columbia","Participation rate",64.858,-0.608,-0.929
"27",2011,"Canada","Labour force",222896.6,2096.9,0.95
"28",2011,"Canada","Participation rate",66.567,-0.158,-0.237
"29",2011,"Manitoba","Labour force",7769.7,60.7,0.787
"30",2011,"Manitoba","Participation rate",68.925,-0.267,-0.385
"31",2011,"New Brunswick","Labour force",4703.2,-24.7,-0.522
"32",2011,"New Brunswick","Participation rate",63.108,-0.675,-1.058
"33",2011,"Newfoundland and Labrador","Labour force",3180.6,48.4,1.545
"34",2011,"Newfoundland and Labrador","Participation rate",60.158,0.475,0.796
"35",2011,"Nova Scotia","Labour force",5954.6,-17.7,-0.296
"36",2011,"Nova Scotia","Participation rate",63.683,-0.45,-0.702
"37",2011,"Ontario","Labour force",86487.9,832.4,0.972
"38",2011,"Ontario","Participation rate",66.442,-0.192,-0.288
"39",2011,"Prince Edward Island","Labour force",967.9,28,2.979
"40",2011,"Prince Edward Island","Participation rate",68.05,0.825,1.227
"41",2011,"Quebec","Labour force",51633.5,441.6,0.863
"42",2011,"Quebec","Participation rate",64.925,-0.158,-0.243
"43",2011,"Saskatchewan","Labour force",6756.3,33.8,0.503
"44",2011,"Saskatchewan","Participation rate",69.292,-0.675,-0.965
"45",2012,"Alberta","Labour force",27112.6,523.2,1.968
"46",2012,"Alberta","Participation rate",73.392,-0.1,-0.136
"47",2012,"British Columbia","Labour force",29309.4,456.5,1.582
"48",2012,"British Columbia","Participation rate",64.842,-0.017,-0.026
"49",2012,"Canada","Labour force",224848.9,1952.3,0.876
"50",2012,"Canada","Participation rate",66.383,-0.183,-0.275
"51",2012,"Manitoba","Labour force",7845.1,75.4,0.97
"52",2012,"Manitoba","Participation rate",68.692,-0.233,-0.339
"53",2012,"New Brunswick","Labour force",4720.4,17.2,0.366
"54",2012,"New Brunswick","Participation rate",63.075,-0.033,-0.053
"55",2012,"Newfoundland and Labrador","Labour force",3274.9,94.3,2.965
"56",2012,"Newfoundland and Labrador","Participation rate",61.625,1.467,2.438
"57",2012,"Nova Scotia","Labour force",5999.3,44.7,0.751
"58",2012,"Nova Scotia","Participation rate",64.092,0.408,0.641
"59",2012,"Ontario","Labour force",86863.8,375.9,0.435
"60",2012,"Ontario","Participation rate",65.975,-0.467,-0.702
"61",2012,"Prince Edward Island","Labour force",981.4,13.5,1.395
"62",2012,"Prince Edward Island","Participation rate",68.583,0.533,0.784
"63",2012,"Quebec","Labour force",51853.7,220.2,0.426
"64",2012,"Quebec","Participation rate",64.75,-0.175,-0.27
"65",2012,"Saskatchewan","Labour force",6888.5,132.2,1.957
"66",2012,"Saskatchewan","Participation rate",69.55,0.258,0.373
