"","ref_year","geo","value","value_fd","value_pc"
"1",2010,"Alberta",3732082,53086,1.443
"2",2010,"British Columbia",4465546,55040,1.248
"3",2010,"Canada",34004889,375994,1.118
"4",2010,"Manitoba",1220780,12224,1.011
"5",2010,"New Brunswick",753035,3079,0.411
"6",2010,"Newfoundland and Labrador",522009,5258,1.018
"7",2010,"Northwest Territories",43285,129,0.299
"8",2010,"Nova Scotia",942107,3899,0.416
"9",2010,"Nunavut",33352,755,2.316
"10",2010,"Ontario",13135778,137433,1.057
"11",2010,"Prince Edward Island",141654,1763,1.26
"12",2010,"Quebec",7929222,85839,1.094
"13",2010,"Saskatchewan",1051443,16624,1.606
"14",2010,"Yukon",34596,865,2.564
"15",2011,"Alberta",3789030,56948,1.526
"16",2011,"British Columbia",4502104,36558,0.819
"17",2011,"Canada",34339328,334439,0.984
"18",2011,"Manitoba",1233649,12869,1.054
"19",2011,"New Brunswick",755705,2670,0.355
"20",2011,"Newfoundland and Labrador",524999,2990,0.573
"21",2011,"Northwest Territories",43504,219,0.506
"22",2011,"Nova Scotia",944274,2167,0.23
"23",2011,"Nunavut",34192,840,2.519
"24",2011,"Ontario",13261381,125603,0.956
"25",2011,"Prince Edward Island",143963,2309,1.63
"26",2011,"Quebec",8005090,75868,0.957
"27",2011,"Saskatchewan",1066026,14583,1.387
"28",2011,"Yukon",35411,815,2.356
"29",2012,"Alberta",3874548,85518,2.257
"30",2012,"British Columbia",4566769,64665,1.436
"31",2012,"Canada",34714222,374894,1.092
"32",2012,"Manitoba",1249975,16326,1.323
"33",2012,"New Brunswick",758378,2673,0.354
"34",2012,"Newfoundland and Labrador",526345,1346,0.256
"35",2012,"Northwest Territories",43648,144,0.331
"36",2012,"Nova Scotia",943635,-639,-0.068
"37",2012,"Nunavut",34672,480,1.404
"38",2012,"Ontario",13390632,129251,0.975
"39",2012,"Prince Edward Island",144530,567,0.394
"40",2012,"Quebec",8061101,56011,0.7
"41",2012,"Saskatchewan",1083755,17729,1.663
"42",2012,"Yukon",36234,823,2.324
"43",2013,"Alberta",3981011,106463,2.748
"44",2013,"British Columbia",4630077,63308,1.386
"45",2013,"Canada",35082954,368732,1.062
"46",2013,"Manitoba",1264620,14645,1.172
"47",2013,"New Brunswick",758544,166,0.022
"48",2013,"Newfoundland and Labrador",527114,769,0.146
"49",2013,"Northwest Territories",43805,157,0.36
"50",2013,"Nova Scotia",940434,-3201,-0.339
"51",2013,"Nunavut",35337,665,1.918
"52",2013,"Ontario",13510781,120149,0.897
"53",2013,"Prince Edward Island",144094,-436,-0.302
"54",2013,"Quebec",8110880,49779,0.618
"55",2013,"Saskatchewan",1099736,15981,1.475
"56",2013,"Yukon",36521,287,0.792
"57",2014,"Alberta",4083648,102637,2.578
"58",2014,"British Columbia",4707103,77026,1.664
"59",2014,"Canada",35437435,354481,1.01
"60",2014,"Manitoba",1279014,14394,1.138
"61",2014,"New Brunswick",758976,432,0.057
"62",2014,"Newfoundland and Labrador",528159,1045,0.198
"63",2014,"Northwest Territories",43884,79,0.18
"64",2014,"Nova Scotia",938545,-1889,-0.201
"65",2014,"Nunavut",35971,634,1.794
"66",2014,"Ontario",13617553,106772,0.79
"67",2014,"Prince Edward Island",144283,189,0.131
"68",2014,"Quebec",8150183,39303,0.485
"69",2014,"Saskatchewan",1112979,13243,1.204
"70",2014,"Yukon",37137,616,1.687
"71",2015,"Alberta",4144491,60843,1.49
"72",2015,"British Columbia",4776388,69285,1.472
"73",2015,"Canada",35702908,265473,0.749
"74",2015,"Manitoba",1292227,13213,1.033
"75",2015,"New Brunswick",758842,-134,-0.018
"76",2015,"Newfoundland and Labrador",528117,-42,-0.008
"77",2015,"Northwest Territories",44237,353,0.804
"78",2015,"Nova Scotia",936525,-2020,-0.215
"79",2015,"Nunavut",36488,517,1.437
"80",2015,"Ontario",13707118,89565,0.658
"81",2015,"Prince Edward Island",144546,263,0.182
"82",2015,"Quebec",8175272,25089,0.308
"83",2015,"Saskatchewan",1120967,7988,0.718
"84",2015,"Yukon",37690,553,1.489
"85",2016,"Alberta",4196061,51570,1.244
"86",2016,"British Columbia",4859250,82862,1.735
"87",2016,"Canada",36109487,406579,1.139
"88",2016,"Manitoba",1314139,21912,1.696
"89",2016,"New Brunswick",763350,4508,0.594
"90",2016,"Newfoundland and Labrador",529426,1309,0.248
"91",2016,"Northwest Territories",44649,412,0.931
"92",2016,"Nova Scotia",942790,6265,0.669
"93",2016,"Nunavut",36975,487,1.335
"94",2016,"Ontario",13875394,168276,1.228
"95",2016,"Prince Edward Island",146969,2423,1.676
"96",2016,"Quebec",8225950,50678,0.62
"97",2016,"Saskatchewan",1135987,15020,1.34
"98",2016,"Yukon",38547,857,2.274
"99",2017,"Alberta",4241100,45039,1.073
"100",2017,"British Columbia",4929384,70134,1.443
"101",2017,"Canada",36545295,435808,1.207
"102",2017,"Manitoba",1334790,20651,1.571
"103",2017,"New Brunswick",766621,3271,0.429
"104",2017,"Newfoundland and Labrador",528249,-1177,-0.222
"105",2017,"Northwest Territories",44891,242,0.542
"106",2017,"Nova Scotia",950108,7318,0.776
"107",2017,"Nunavut",37546,571,1.544
"108",2017,"Ontario",14070141,194747,1.404
"109",2017,"Prince Edward Island",150402,3433,2.336
"110",2017,"Quebec",8302063,76113,0.925
"111",2017,"Saskatchewan",1150331,14344,1.263
"112",2017,"Yukon",39669,1122,2.911
"113",2018,"Alberta",4298275,57175,1.348
"114",2018,"British Columbia",5010476,81092,1.645
"115",2018,"Canada",37065178,519883,1.423
"116",2018,"Manitoba",1352825,18035,1.351
"117",2018,"New Brunswick",770301,3680,0.48
