"","ref_date","geo","supplementary_unemployment_rates","value","value_fd","value_pc"
"1","2010","Alberta","R4 - official rate",6.6,0,0
"2","2010","Alberta","R8 - plus discouraged searchers, waiting group, portion of involuntary part-timers",9,0.1,1.124
"3","2010","British Columbia","R4 - official rate",7.7,-0.1,-1.282
"4","2010","British Columbia","R8 - plus discouraged searchers, waiting group, portion of involuntary part-timers",11.1,0,0
"5","2010","Canada","R4 - official rate",8.1,-0.3,-3.571
"6","2010","Canada","R8 - plus discouraged searchers, waiting group, portion of involuntary part-timers",11.4,-0.2,-1.724
"7","2010","Manitoba","R4 - official rate",5.4,0.2,3.846
"8","2010","Manitoba","R8 - plus discouraged searchers, waiting group, portion of involuntary part-timers",8.3,0.5,6.41
"9","2010","New Brunswick","R4 - official rate",9.3,0.6,6.897
"10","2010","New Brunswick","R8 - plus discouraged searchers, waiting group, portion of involuntary part-timers",13,0.5,4
"11","2010","Newfoundland and Labrador","R4 - official rate",14.9,-0.8,-5.096
"12","2010","Newfoundland and Labrador","R8 - plus discouraged searchers, waiting group, portion of involuntary part-timers",21,-1.5,-6.667
"13","2010","Nova Scotia","R4 - official rate",9.6,0.3,3.226
"14","2010","Nova Scotia","R8 - plus discouraged searchers, waiting group, portion of involuntary part-timers",13.6,0.5,3.817
"15","2010","Ontario","R4 - official rate",8.7,-0.5,-5.435
"16","2010","Ontario","R8 - plus discouraged searchers, waiting group, portion of involuntary part-timers",12.3,-0.4,-3.15
"17","2010","Prince Edward Island","R4 - official rate",11.5,-0.4,-3.361
"18","2010","Prince Edward Island","R8 - plus discouraged searchers, waiting group, portion of involuntary part-timers",15.9,-0.2,-1.242
"19","2010","Quebec","R4 - official rate",8.1,-0.5,-5.814
"20","2010","Quebec","R8 - plus discouraged searchers, waiting group, portion of involuntary part-timers",10.9,-0.5,-4.386
"21","2010","Saskatchewan","R4 - official rate",5.3,0.4,8.163
"22","2010","Saskatchewan","R8 - plus discouraged searchers, waiting group, portion of involuntary part-timers",7.9,0.5,6.757
"23","2011","Alberta","R4 - official rate",5.5,-1.1,-16.667
"24","2011","Alberta","R8 - plus discouraged searchers, waiting group, portion of involuntary part-timers",7.7,-1.3,-14.444
"25","2011","British Columbia","R4 - official rate",7.7,0,0
"26","2011","British Columbia","R8 - plus discouraged searchers, waiting group, portion of involuntary part-timers",11.2,0.1,0.901
"27","2011","Canada","R4 - official rate",7.6,-0.5,-6.173
"28","2011","Canada","R8 - plus discouraged searchers, waiting group, portion of involuntary part-timers",10.7,-0.7,-6.14
"29","2011","Manitoba","R4 - official rate",5.5,0.1,1.852
"30","2011","Manitoba","R8 - plus discouraged searchers, waiting group, portion of involuntary part-timers",8.2,-0.1,-1.205
"31","2011","New Brunswick","R4 - official rate",9.5,0.2,2.151
